Date,Average Heart Rate,Average Pace,Average Speed,Calories Total,Distance,Duration Total,Elevation Gain,Total Ascent Gradient,Total Descent Gradient,Weather,Purpose
5/22/2024,167,232,15.4,276,6.08,1766,35,0.2,0.06,33,Bike to Work
5/22/2024,151,195,18.3,167,4.1,1127,17,0,0.31,31,Home from Work
