Date,Average Heart Rate,Average Pace,Average Speed,Calories Total,Distance,Duration Total,Elevation Gain,Total Ascent Gradient,Total Descent Gradient,Weather,Purpose
6/5/2024,156,207,17.3,353,6.31,2003,35,0.1,0.09,28,Bike to Work
6/5/2024,148,208,17.2,174,4.06,1158,15,N/A,0.29,27,Home from Work
