Date,Average Heart Rate,Average Pace,Average Speed,Calories Total,Distance,Duration Total,Elevation Gain,Total Ascent Gradient,Total Descent Gradient,Weather,Purpose
2/14/2024,N/A,297,12,172,4.1,1420,30,0.36,0.02,30,Bike to Work
2/14/2024,N/A,260,13.8,233,4.13,1731,27,0,0.23,28,Home from Work
