Date,Average Heart Rate,Average Pace,Average Speed,Calories Total,Distance,Duration Total,Elevation Gain,Total Ascent Gradient,Total Descent Gradient,Weather,Purpose
2/21/2024,N/A,294,12.2,211,4.51,1672,30,0.36,0.08,29,Bike to Work
2/21/2024,N/A,250,14.3,196,4.19,1479,34,N/A,0.29,N/A,Home from Work
