Date,Average Heart Rate,Average Pace,Average Speed,Calories Total,Distance,Duration Total,Elevation Gain,Total Ascent Gradient,Total Descent Gradient,Weather,Purpose
5/15/2024,N/A,230,15.6,224,5.95,1661,40,0.19,0.1,34,Bike to Work
5/15/2024,N/A,206,17.4,151,4.13,1069,10,N/A,0.27,31,Home from Work
