Date,Average Heart Rate,Average Pace,Average Speed,Calories Total,Distance,Duration Total,Elevation Gain,Total Ascent Gradient,Total Descent Gradient,Weather,Purpose
5/29/2024,168,220,16.3,308,6.56,1834,35,0.17,0.12,33,Bike to Work
5/29/2024,140,220,16.3,189,4.01,1323,10,0,0.26,28,Home from Work
